id,imdb_id,season,episode,title,imdb_rating,num_votes,year,runtime,airdate,us_viewers
282,tt0701241,12,7,The Great Money Caper,7.2,1915,2000,30,2000-12-10,16.84
283,tt0762498,12,8,Skinner's Sense of Snow,7.9,2652,2000,30,2000-12-17,15.87
284,tt0762497,12,9,HOMR,8.1,2359,2001,30,2001-01-07,18.52
285,tt0701197,12,10,Pokey Mom,7.1,2235,2001,30,2001-01-14,15.01
286,tt0701297,12,11,Worst Episode Ever,7.4,1969,2001,30,2001-02-04,18.5
287,tt0701223,12,12,Tennis the Menace,6.8,1931,2001,30,2001-02-11,13.98
288,tt0701086,12,13,Day of the Jackanapes,7.1,1787,2001,30,2001-02-18,15.39
289,tt0701190,12,14,New Kids on the Blecch,7.2,2094,2001,30,2001-02-25,18.12
290,tt0701130,12,15,Hungry Hungry Homer,7.5,1925,2001,30,2001-03-04,17.55
291,tt0701079,12,16,Bye Bye Nerdy,6.7,1865,2001,30,2001-03-11,16.11
292,tt0701213,12,17,Simpson Safari,6.8,1906,2001,30,2001-04-01,13.28
293,tt0701288,12,18,Trilogy of Error,8.6,2873,2001,22,2001-04-29,14.41
294,tt0701133,12,19,I'm Goin' to Praiseland,7.2,2160,2001,30,2001-05-06,13.06
295,tt0765966,12,20,Children of a Lesser Clod,7.2,1745,2001,30,2001-05-13,13.81
296,tt0766139,12,21,Simpsons Tall Tales,6.9,1811,2001,30,2001-05-20,13.43
